,degs,clos,betw,eigen
entrez gene/locuslink:851217,0.0376,0.3077,0.0006,0.0068
entrez gene/locuslink:855565,0.0133,0.2905,0.0004,0.0048
entrez gene/locuslink:850822,0.031,0.3279,0.0006,0.0169
entrez gene/locuslink:850488,0.0022,0.244,0.0,0.0003
entrez gene/locuslink:856275,0.1173,0.3383,0.0032,0.0296
entrez gene/locuslink:852493,0.0044,0.2576,0.0,0.0008
entrez gene/locuslink:850505,0.0819,0.3092,0.0011,0.0114
entrez gene/locuslink:850767,0.0708,0.3247,0.0014,0.0225
entrez gene/locuslink:856753,0.0465,0.3045,0.0008,0.005
entrez gene/locuslink:853901,0.0177,0.2941,0.0002,0.0049
entrez gene/locuslink:855576,0.0066,0.2515,0.0,0.0004
entrez gene/locuslink:855631,0.042,0.2975,0.0009,0.0041
entrez gene/locuslink:851565,0.0199,0.2934,0.0003,0.0047
entrez gene/locuslink:856409,0.1438,0.3293,0.0028,0.0262
entrez gene/locuslink:852276,0.3208,0.3725,0.0205,0.0668
entrez gene/locuslink:856222,0.0133,0.2723,0.0004,0.0027
entrez gene/locuslink:853555,0.0199,0.2919,0.0001,0.0055
entrez gene/locuslink:855284,0.0288,0.2764,0.0006,0.0029
entrez gene/locuslink:850585,0.1106,0.3293,0.0021,0.0198
entrez gene/locuslink:853513,0.0332,0.3019,0.0004,0.0092
entrez gene/locuslink:850768,0.0752,0.3304,0.0023,0.0156
entrez gene/locuslink:850968,0.0243,0.2931,0.0003,0.0049
entrez gene/locuslink:854383,0.0199,0.3089,0.0002,0.0105
entrez gene/locuslink:856425,0.1018,0.3308,0.0027,0.02
entrez gene/locuslink:856807,0.0066,0.283,0.0,0.0038
entrez gene/locuslink:852265,0.219,0.3403,0.0058,0.0427
entrez gene/locuslink:852646,0.0066,0.2876,0.0004,0.0046
entrez gene/locuslink:854213,0.0022,0.2234,0.0,0.0001
entrez gene/locuslink:853562,0.0199,0.2905,0.0001,0.0047
entrez gene/locuslink:852993,0.0066,0.2464,0.0,0.0004
entrez gene/locuslink:853940,0.0243,0.2775,0.0007,0.002
entrez gene/locuslink:854386,0.0177,0.3044,0.0002,0.0081
entrez gene/locuslink:856859,0.0642,0.3407,0.0017,0.0377
entrez gene/locuslink:851335,0.1062,0.3087,0.0016,0.0092
entrez gene/locuslink:851418,0.0155,0.2993,0.0002,0.0056
entrez gene/locuslink:856899,0.0155,0.2784,0.0,0.0032
entrez gene/locuslink:853770,0.0088,0.2585,0.0,0.0006
entrez gene/locuslink:851372,0.0376,0.2984,0.0005,0.0054
entrez gene/locuslink:850543,0.0686,0.3148,0.0009,0.012
entrez gene/locuslink:854256,0.073,0.3115,0.001,0.0125
entrez gene/locuslink:855760,0.0088,0.2464,0.0,0.0005
entrez gene/locuslink:855883,0.0288,0.2911,0.0004,0.0035
entrez gene/locuslink:855449,0.1261,0.353,0.0029,0.065
entrez gene/locuslink:856210,0.0066,0.2414,0.0,0.0005
entrez gene/locuslink:854876,0.0221,0.3056,0.0003,0.0055
entrez gene/locuslink:2827706,0.0088,0.2656,0.0,0.0021
entrez gene/locuslink:855625,0.0465,0.3109,0.0008,0.0074
entrez gene/locuslink:853433,0.1261,0.3462,0.0035,0.0331
entrez gene/locuslink:854353,0.0996,0.3383,0.0022,0.0287
entrez gene/locuslink:852294,0.2257,0.3278,0.0048,0.0271
entrez gene/locuslink:853364,0.0199,0.2827,0.0,0.0044
entrez gene/locuslink:852295,0.2677,0.3382,0.0091,0.0343
entrez gene/locuslink:851810,0.1372,0.3303,0.0042,0.02
entrez gene/locuslink:855873,0.0088,0.2671,0.0004,0.0016
entrez gene/locuslink:852747,0.0044,0.2592,0.0,0.0007
entrez gene/locuslink:851415,0.1836,0.3492,0.0092,0.0281
entrez gene/locuslink:853475,0.1527,0.3251,0.0034,0.021
entrez gene/locuslink:854106,0.0996,0.3062,0.0015,0.0128
entrez gene/locuslink:855828,0.1106,0.3112,0.0017,0.0139
entrez gene/locuslink:854431,0.0332,0.2963,0.0002,0.0081
entrez gene/locuslink:854331,0.0288,0.2892,0.0002,0.0027
entrez gene/locuslink:856216,0.0088,0.2446,0.0,0.0005
entrez gene/locuslink:850623,0.0575,0.2912,0.001,0.0037
entrez gene/locuslink:855253,0.0841,0.295,0.0015,0.0061
entrez gene/locuslink:853060,0.0088,0.257,0.0,0.0008
entrez gene/locuslink:851255,0.0376,0.2999,0.0005,0.007
entrez gene/locuslink:854518,0.0243,0.3112,0.0002,0.0145
entrez gene/locuslink:851734,0.0066,0.2808,0.0,0.0021
entrez gene/locuslink:856862,0.5376,0.3846,0.0398,0.0891
entrez gene/locuslink:854680,0.0487,0.2758,0.0001,0.0048
entrez gene/locuslink:850450,0.0664,0.317,0.001,0.0127
entrez gene/locuslink:854954,0.0796,0.3018,0.0018,0.0061
entrez gene/locuslink:856570,0.0752,0.3165,0.0022,0.0092
entrez gene/locuslink:853096,0.0288,0.2833,0.0004,0.003
entrez gene/locuslink:850312,0.0044,0.2741,0.0,0.0017
entrez gene/locuslink:855450,0.3142,0.3606,0.0179,0.063
entrez gene/locuslink:853523,0.042,0.2935,0.0003,0.0071
entrez gene/locuslink:854738,0.0111,0.2829,0.0,0.0042
entrez gene/locuslink:852639,0.0265,0.3055,0.0003,0.0053
entrez gene/locuslink:855203,0.0288,0.2649,0.0012,0.001
entrez gene/locuslink:853500,0.0221,0.2849,0.0002,0.003
entrez gene/locuslink:855478,0.0885,0.3308,0.0011,0.0271
entrez gene/locuslink:854945,0.0177,0.3127,0.0004,0.0081
entrez gene/locuslink:851957,0.042,0.3111,0.0002,0.0207
entrez gene/locuslink:854790,0.0177,0.2628,0.0001,0.0012
entrez gene/locuslink:850958,0.0111,0.2982,0.0001,0.0055
entrez gene/locuslink:853748,0.0133,0.2762,0.0,0.0019
entrez gene/locuslink:853244,0.0686,0.3249,0.002,0.0159
entrez gene/locuslink:855656,0.0199,0.3062,0.0002,0.0072
entrez gene/locuslink:855060,0.031,0.2756,0.0003,0.0012
entrez gene/locuslink:852614,0.0221,0.2981,0.0006,0.0047
entrez gene/locuslink:852501,0.0531,0.2933,0.0001,0.0068
entrez gene/locuslink:854063,0.0531,0.2957,0.0011,0.0088
entrez gene/locuslink:855642,0.0111,0.2482,0.0,0.0005
entrez gene/locuslink:851671,0.0199,0.2766,0.0002,0.0018
entrez gene/locuslink:851452,0.0221,0.2918,0.0004,0.0042
entrez gene/locuslink:852385,0.1128,0.3163,0.0049,0.0093
entrez gene/locuslink:855505,0.0465,0.2917,0.0004,0.0055
entrez gene/locuslink:856030,0.0221,0.2992,0.0001,0.0127
entrez gene/locuslink:852377,0.0199,0.3105,0.0003,0.0065
entrez gene/locuslink:856847,0.0111,0.2895,0.0,0.0059
entrez gene/locuslink:850879,0.0398,0.3042,0.0006,0.0087
entrez gene/locuslink:854480,0.0044,0.2439,0.0,0.0006
entrez gene/locuslink:852260,0.0088,0.2416,0.0,0.0004
entrez gene/locuslink:856146,0.0199,0.2616,0.0,0.0037
entrez gene/locuslink:855049,0.031,0.277,0.0004,0.0044
entrez gene/locuslink:851979,0.0111,0.2618,0.0004,0.0007
entrez gene/locuslink:855454,0.0243,0.2971,0.0004,0.0063
entrez gene/locuslink:855182,0.0066,0.2323,0.0004,0.0003
entrez gene/locuslink:855051,0.0022,0.1885,0.0,0.0
entrez gene/locuslink:855342,0.0111,0.2897,0.0002,0.0029
entrez gene/locuslink:851634,0.0044,0.2368,0.0,0.0003
entrez gene/locuslink:856498,0.0243,0.3029,0.0002,0.0072
entrez gene/locuslink:856311,0.0465,0.3135,0.0015,0.0071
entrez gene/locuslink:852395,0.0243,0.2852,0.0003,0.003
entrez gene/locuslink:850454,0.0199,0.2521,0.0001,0.0006
entrez gene/locuslink:851456,0.0088,0.2729,0.0001,0.0024
entrez gene/locuslink:853462,0.0088,0.2509,0.0001,0.0007
entrez gene/locuslink:851567,0.0177,0.2648,0.0,0.0012
entrez gene/locuslink:853531,0.0243,0.2917,0.0002,0.0043
entrez gene/locuslink:855426,0.0155,0.2743,0.0001,0.0018
entrez gene/locuslink:852383,0.0177,0.2812,0.0001,0.0031
entrez gene/locuslink:854059,0.0133,0.25,0.0,0.0005
entrez gene/locuslink:852312,0.0066,0.2482,0.0001,0.0006
entrez gene/locuslink:852325,0.0066,0.2233,0.0,0.0001
entrez gene/locuslink:854697,0.073,0.3202,0.0023,0.0111
entrez gene/locuslink:851813,0.104,0.3189,0.0022,0.0275
entrez gene/locuslink:851163,0.0442,0.2992,0.0004,0.0074
entrez gene/locuslink:850540,0.0597,0.306,0.0005,0.0261
entrez gene/locuslink:853371,0.0442,0.2877,0.0003,0.0092
entrez gene/locuslink:853568,0.0221,0.2996,0.0005,0.0051
entrez gene/locuslink:855054,0.0044,0.2415,0.0,0.0002
entrez gene/locuslink:856461,0.0044,0.2399,0.0,0.0003
entrez gene/locuslink:853202,0.0221,0.2938,0.0007,0.0045
entrez gene/locuslink:851332,0.0265,0.2944,0.0002,0.0038
entrez gene/locuslink:850594,0.0642,0.3362,0.0016,0.0246
entrez gene/locuslink:852538,0.0022,0.2588,0.0,0.0007
entrez gene/locuslink:855584,0.0465,0.3016,0.0003,0.0069
entrez gene/locuslink:853133,0.1438,0.327,0.0059,0.021
entrez gene/locuslink:851756,0.0376,0.2951,0.0006,0.0074
entrez gene/locuslink:852455,0.0022,0.2451,0.0,0.0003
entrez gene/locuslink:853327,0.042,0.3154,0.0009,0.0125
entrez gene/locuslink:852275,0.0066,0.2566,0.0,0.0006
entrez gene/locuslink:854203,0.0044,0.2495,0.0,0.0006
entrez gene/locuslink:855820,0.0376,0.2995,0.0004,0.0178
entrez gene/locuslink:855979,0.0597,0.3228,0.0007,0.0306
entrez gene/locuslink:855689,0.0199,0.2643,0.0008,0.0011
entrez gene/locuslink:852499,0.1062,0.3203,0.0034,0.0187
entrez gene/locuslink:851190,0.0487,0.3002,0.0008,0.0095
entrez gene/locuslink:854813,0.042,0.2914,0.0004,0.0056
entrez gene/locuslink:850973,0.0951,0.3106,0.0012,0.0164
entrez gene/locuslink:850713,0.0796,0.3112,0.0009,0.0245
entrez gene/locuslink:853638,0.0575,0.3048,0.0005,0.0126
entrez gene/locuslink:854647,0.0885,0.3329,0.0013,0.0429
entrez gene/locuslink:853783,0.2434,0.3562,0.0047,0.1221
entrez gene/locuslink:853100,0.031,0.296,0.0003,0.0064
entrez gene/locuslink:850405,0.0022,0.2505,0.0,0.0005
entrez gene/locuslink:856514,0.2124,0.346,0.011,0.0389
entrez gene/locuslink:853976,0.0133,0.2651,0.0001,0.0021
entrez gene/locuslink:855204,0.0664,0.3225,0.0011,0.0294
entrez gene/locuslink:855155,0.0177,0.277,0.0001,0.0015
entrez gene/locuslink:851827,0.0265,0.2947,0.0004,0.006
entrez gene/locuslink:853788,0.0531,0.3083,0.0012,0.006
entrez gene/locuslink:850358,0.031,0.3041,0.0001,0.0108
entrez gene/locuslink:855555,0.0243,0.3211,0.0001,0.0176
entrez gene/locuslink:856507,0.0619,0.3253,0.0007,0.027
entrez gene/locuslink:853760,0.2102,0.3343,0.0047,0.043
entrez gene/locuslink:853283,0.0265,0.3015,0.0002,0.0064
entrez gene/locuslink:851019,0.0841,0.3191,0.0027,0.0122
entrez gene/locuslink:854268,0.0177,0.3004,0.0002,0.0068
entrez gene/locuslink:856237,0.031,0.3052,0.0002,0.0089
entrez gene/locuslink:851024,0.2588,0.3619,0.0062,0.1219
entrez gene/locuslink:855533,0.0133,0.2835,0.0,0.0055
entrez gene/locuslink:855013,0.1283,0.3301,0.0034,0.0246
entrez gene/locuslink:852258,0.0973,0.3293,0.0023,0.0185
entrez gene/locuslink:852352,0.0619,0.3062,0.0003,0.012
entrez gene/locuslink:854937,0.0465,0.2972,0.0002,0.0076
entrez gene/locuslink:851623,0.0686,0.3231,0.0014,0.0149
entrez gene/locuslink:851136,0.0354,0.2919,0.0001,0.0052
entrez gene/locuslink:851691,0.0619,0.337,0.0014,0.0284
entrez gene/locuslink:855819,0.0265,0.3097,0.0003,0.0072
entrez gene/locuslink:853712,0.0642,0.3006,0.0009,0.0095
entrez gene/locuslink:856571,0.031,0.297,0.0003,0.0056
entrez gene/locuslink:852406,0.135,0.3377,0.0065,0.0244
entrez gene/locuslink:855532,0.2544,0.3583,0.0169,0.0342
entrez gene/locuslink:856089,0.2035,0.3366,0.0039,0.0816
entrez gene/locuslink:853041,0.0575,0.316,0.0009,0.0126
entrez gene/locuslink:855920,0.0155,0.3122,0.0,0.0164
entrez gene/locuslink:852410,0.0531,0.3092,0.001,0.0102
entrez gene/locuslink:853450,0.0509,0.2966,0.0003,0.0076
entrez gene/locuslink:854928,0.0066,0.26,0.0,0.0009
entrez gene/locuslink:852171,0.0465,0.3115,0.0005,0.0185
entrez gene/locuslink:852535,0.0199,0.2838,0.0,0.0058
entrez gene/locuslink:853817,0.0465,0.3054,0.0006,0.0108
entrez gene/locuslink:853090,0.0442,0.309,0.0001,0.0166
entrez gene/locuslink:852675,0.0973,0.3066,0.0008,0.0131
entrez gene/locuslink:854997,0.1239,0.3115,0.0017,0.0139
entrez gene/locuslink:853359,0.0265,0.2906,0.0001,0.0065
entrez gene/locuslink:851744,0.0265,0.2858,0.0001,0.0057
entrez gene/locuslink:851092,0.0199,0.2885,0.0005,0.0023
entrez gene/locuslink:853994,0.0111,0.2631,0.0,0.0008
entrez gene/locuslink:851797,0.0199,0.2847,0.0002,0.0022
entrez gene/locuslink:852974,0.0066,0.2622,0.0,0.0008
entrez gene/locuslink:851877,0.0575,0.3107,0.0009,0.0098
entrez gene/locuslink:852680,0.0221,0.2839,0.0002,0.0026
entrez gene/locuslink:850561,0.0398,0.3129,0.0001,0.0286
entrez gene/locuslink:854474,0.0155,0.3191,0.0003,0.0097
entrez gene/locuslink:851960,0.0155,0.2833,0.0001,0.0021
entrez gene/locuslink:852666,0.0487,0.2992,0.0002,0.0067
entrez gene/locuslink:856508,0.0354,0.3075,0.0005,0.0078
entrez gene/locuslink:851320,0.0354,0.289,0.0013,0.003
entrez gene/locuslink:854211,0.0133,0.2502,0.0,0.0005
entrez gene/locuslink:851774,0.0465,0.2933,0.0005,0.0044
entrez gene/locuslink:856394,0.0288,0.2857,0.0005,0.0031
entrez gene/locuslink:856741,0.0929,0.3137,0.0015,0.0131
entrez gene/locuslink:854274,0.0111,0.2902,0.0,0.0073
entrez gene/locuslink:853338,0.1836,0.3301,0.0031,0.0445
entrez gene/locuslink:856095,0.0265,0.2972,0.0002,0.0067
entrez gene/locuslink:850513,0.0265,0.3091,0.0002,0.0092
entrez gene/locuslink:850889,0.0398,0.3285,0.0004,0.0233
entrez gene/locuslink:854543,0.0177,0.2731,0.0002,0.002
entrez gene/locuslink:852371,0.0398,0.3128,0.0003,0.0206
entrez gene/locuslink:851889,0.2434,0.3485,0.0031,0.129
entrez gene/locuslink:856309,0.0177,0.2909,0.0002,0.0113
entrez gene/locuslink:852322,0.1416,0.3233,0.0063,0.0166
entrez gene/locuslink:854731,0.0376,0.2948,0.0009,0.0035
entrez gene/locuslink:851716,0.0133,0.294,0.0001,0.0042
entrez gene/locuslink:851475,0.0177,0.2814,0.0001,0.0021
entrez gene/locuslink:855104,0.0575,0.3,0.0014,0.0048
entrez gene/locuslink:853252,0.3075,0.3628,0.0122,0.082
entrez gene/locuslink:851751,0.0442,0.3142,0.0017,0.0062
entrez gene/locuslink:854017,0.0199,0.2841,0.0001,0.0046
entrez gene/locuslink:852868,0.0155,0.2805,0.0001,0.0023
entrez gene/locuslink:854369,0.0199,0.2747,0.0001,0.0032
entrez gene/locuslink:853807,0.0177,0.2602,0.0,0.0016
entrez gene/locuslink:851209,0.0133,0.2867,0.0,0.0047
entrez gene/locuslink:855934,0.0553,0.2984,0.0007,0.0045
entrez gene/locuslink:855066,0.1062,0.3092,0.0032,0.0107
entrez gene/locuslink:854851,0.0509,0.3124,0.001,0.0087
entrez gene/locuslink:852848,0.0575,0.3257,0.0018,0.0121
entrez gene/locuslink:852793,0.0155,0.2557,0.0011,0.0008
entrez gene/locuslink:851666,0.0398,0.285,0.0023,0.0026
entrez gene/locuslink:854700,0.0265,0.2991,0.0002,0.0078
entrez gene/locuslink:852984,0.1881,0.3284,0.0037,0.0365
entrez gene/locuslink:856023,0.0111,0.2691,0.0,0.0014
entrez gene/locuslink:852805,0.0863,0.3235,0.0007,0.0491
entrez gene/locuslink:855785,0.0111,0.2561,0.0,0.0015
entrez gene/locuslink:851742,0.0243,0.2706,0.0,0.0046
entrez gene/locuslink:852042,0.0841,0.33,0.0036,0.0158
entrez gene/locuslink:854504,0.0841,0.3138,0.0017,0.0254
entrez gene/locuslink:852772,0.0221,0.2889,0.0007,0.0051
entrez gene/locuslink:853729,0.073,0.3195,0.0005,0.0194
entrez gene/locuslink:855136,0.1394,0.3352,0.0031,0.0265
entrez gene/locuslink:854200,0.0155,0.3037,0.0001,0.0069
entrez gene/locuslink:851319,0.0509,0.2838,0.0018,0.0034
entrez gene/locuslink:853313,0.0354,0.3099,0.0003,0.0089
entrez gene/locuslink:853369,0.0398,0.3194,0.0006,0.0139
entrez gene/locuslink:851520,0.0597,0.3216,0.0014,0.0108
entrez gene/locuslink:854327,0.0973,0.3321,0.0025,0.0274
entrez gene/locuslink:856165,0.0819,0.3125,0.0012,0.0117
entrez gene/locuslink:856154,0.0354,0.3115,0.0005,0.0075
entrez gene/locuslink:854114,0.0066,0.2795,0.0001,0.0022
entrez gene/locuslink:854265,0.0509,0.3122,0.0008,0.0079
entrez gene/locuslink:851061,0.0752,0.3198,0.0014,0.0109
entrez gene/locuslink:853796,0.0642,0.2938,0.0007,0.0046
entrez gene/locuslink:856844,0.0066,0.2694,0.0,0.0012
entrez gene/locuslink:851263,0.0288,0.2934,0.0001,0.0039
entrez gene/locuslink:850782,0.0664,0.3129,0.0006,0.0248
entrez gene/locuslink:856366,0.031,0.3096,0.0006,0.0084
entrez gene/locuslink:856912,0.0575,0.3086,0.0011,0.0066
entrez gene/locuslink:851752,0.0642,0.3184,0.0018,0.0123
entrez gene/locuslink:851259,0.0796,0.3334,0.0026,0.0169
entrez gene/locuslink:852536,0.0686,0.3117,0.0007,0.0129
entrez gene/locuslink:851532,0.0597,0.3191,0.0009,0.0161
entrez gene/locuslink:853528,0.0243,0.2907,0.0001,0.0055
entrez gene/locuslink:856854,0.2367,0.3522,0.0125,0.0362
entrez gene/locuslink:854739,0.0044,0.2316,0.0,0.0002
entrez gene/locuslink:853463,0.031,0.2918,0.0011,0.0049
entrez gene/locuslink:850888,0.1327,0.3271,0.0034,0.02
entrez gene/locuslink:851831,0.042,0.2903,0.0002,0.0032
entrez gene/locuslink:855399,0.0177,0.2468,0.0,0.0007
entrez gene/locuslink:850983,0.0177,0.2865,0.0001,0.0046
entrez gene/locuslink:856201,0.0442,0.2987,0.0006,0.0068
entrez gene/locuslink:856136,0.0133,0.2931,0.0001,0.0055
entrez gene/locuslink:855239,0.0111,0.3056,0.0,0.0073
entrez gene/locuslink:855427,0.0597,0.3249,0.0005,0.0164
entrez gene/locuslink:856468,0.0022,0.2834,0.0,0.0039
entrez gene/locuslink:852667,0.0133,0.2946,0.0001,0.0085
entrez gene/locuslink:852889,0.0111,0.2579,0.0,0.001
entrez gene/locuslink:851531,0.0575,0.3055,0.0008,0.0123
entrez gene/locuslink:855177,0.031,0.2936,0.0008,0.0049
entrez gene/locuslink:855055,0.0354,0.3134,0.0014,0.0137
entrez gene/locuslink:852411,0.0177,0.2738,0.0001,0.0014
entrez gene/locuslink:853512,0.0133,0.2444,0.0,0.0004
entrez gene/locuslink:853174,0.0221,0.2906,0.0001,0.0036
entrez gene/locuslink:854663,0.0465,0.2985,0.001,0.0039
entrez gene/locuslink:856918,0.0265,0.2561,0.0008,0.001
entrez gene/locuslink:850691,0.0221,0.2759,0.0005,0.0017
entrez gene/locuslink:852713,0.0265,0.2789,0.0005,0.0024
entrez gene/locuslink:854976,0.0509,0.2985,0.0014,0.006
entrez gene/locuslink:855950,0.1792,0.3349,0.0047,0.0374
entrez gene/locuslink:851803,0.0221,0.2925,0.0002,0.0049
entrez gene/locuslink:853098,0.0111,0.2751,0.0,0.0017
entrez gene/locuslink:855320,0.0487,0.3164,0.0006,0.0214
entrez gene/locuslink:854688,0.0243,0.311,0.0002,0.0099
entrez gene/locuslink:854262,0.0133,0.2879,0.0001,0.0022
entrez gene/locuslink:854439,0.0133,0.2731,0.0004,0.006
entrez gene/locuslink:855280,0.0442,0.3159,0.001,0.0121
entrez gene/locuslink:856489,0.0951,0.3092,0.0023,0.0107
entrez gene/locuslink:852733,0.0066,0.2879,0.0,0.0032
entrez gene/locuslink:851266,0.1261,0.3206,0.0032,0.0109
entrez gene/locuslink:856569,0.0177,0.2777,0.0001,0.002
entrez gene/locuslink:850806,0.0155,0.2655,0.0,0.0012
entrez gene/locuslink:856437,0.0133,0.2747,0.0,0.0025
entrez gene/locuslink:856743,0.0465,0.2958,0.0004,0.0053
entrez gene/locuslink:854322,0.0642,0.3099,0.0007,0.0077
entrez gene/locuslink:855499,0.0177,0.2704,0.0001,0.0014
entrez gene/locuslink:856422,0.0774,0.3099,0.001,0.0179
entrez gene/locuslink:856607,0.0509,0.3216,0.002,0.0123
entrez gene/locuslink:854735,0.0442,0.3195,0.0007,0.0163
entrez gene/locuslink:855470,0.0199,0.2807,0.0001,0.002
entrez gene/locuslink:851895,0.0243,0.3068,0.0005,0.0067
entrez gene/locuslink:852834,0.0819,0.322,0.0007,0.0357
entrez gene/locuslink:853859,0.0199,0.2882,0.0003,0.0035
entrez gene/locuslink:853734,0.0111,0.2768,0.0,0.0031
entrez gene/locuslink:852618,0.0376,0.2983,0.0003,0.0092
entrez gene/locuslink:852230,0.0177,0.2723,0.0,0.0029
entrez gene/locuslink:852372,0.031,0.3007,0.0006,0.0042
entrez gene/locuslink:852662,0.0398,0.3034,0.0003,0.008
entrez gene/locuslink:851770,0.0376,0.3097,0.0003,0.0089
entrez gene/locuslink:856726,0.0243,0.2861,0.0001,0.0047
entrez gene/locuslink:854742,0.0354,0.2841,0.0005,0.0043
entrez gene/locuslink:856168,0.0221,0.2877,0.0001,0.0056
entrez gene/locuslink:856144,0.0376,0.3172,0.0004,0.0175
entrez gene/locuslink:852168,0.0265,0.2989,0.0001,0.0108
entrez gene/locuslink:855844,0.0863,0.321,0.001,0.0321
entrez gene/locuslink:856901,0.0686,0.3213,0.0006,0.0268
entrez gene/locuslink:852079,0.0619,0.3206,0.0006,0.0252
entrez gene/locuslink:856354,0.0354,0.2789,0.0001,0.0038
entrez gene/locuslink:854307,0.0066,0.2699,0.0,0.0013
entrez gene/locuslink:853863,0.031,0.2949,0.0002,0.0057
entrez gene/locuslink:854702,0.0177,0.2704,0.0002,0.0021
entrez gene/locuslink:853356,0.0221,0.2898,0.0001,0.0051
entrez gene/locuslink:856613,0.0774,0.3179,0.0009,0.0433
entrez gene/locuslink:855704,0.0686,0.3374,0.0007,0.0379
entrez gene/locuslink:851503,0.0199,0.2975,0.0001,0.0092
entrez gene/locuslink:852453,0.042,0.2991,0.0008,0.0101
entrez gene/locuslink:855892,0.1881,0.3396,0.0051,0.0382
entrez gene/locuslink:851561,0.0354,0.2741,0.0008,0.004
entrez gene/locuslink:850589,0.0243,0.2815,0.0001,0.0054
entrez gene/locuslink:850775,0.0243,0.2994,0.0001,0.0111
entrez gene/locuslink:851203,0.0177,0.2678,0.0,0.0029
entrez gene/locuslink:854505,0.0796,0.2942,0.001,0.0093
entrez gene/locuslink:855237,0.0354,0.2809,0.0001,0.0052
entrez gene/locuslink:850639,0.0619,0.3136,0.0004,0.0166
entrez gene/locuslink:856577,0.0133,0.2776,0.0,0.0044
entrez gene/locuslink:855597,0.0111,0.2612,0.0,0.0032
entrez gene/locuslink:850734,0.0553,0.3115,0.0003,0.0174
entrez gene/locuslink:850909,0.0243,0.2932,0.0001,0.0102
entrez gene/locuslink:853315,0.0066,0.227,0.0,0.0001
entrez gene/locuslink:855217,0.0066,0.2756,0.0002,0.0018
entrez gene/locuslink:851771,0.0398,0.3119,0.0005,0.0088
entrez gene/locuslink:855841,0.042,0.2987,0.0005,0.0056
entrez gene/locuslink:853161,0.0177,0.249,0.0001,0.0005
entrez gene/locuslink:853191,0.1239,0.3206,0.0016,0.0357
entrez gene/locuslink:852373,0.0199,0.2684,0.0002,0.0026
entrez gene/locuslink:856455,0.0177,0.285,0.0001,0.0049
entrez gene/locuslink:850445,0.0996,0.3219,0.0015,0.0404
entrez gene/locuslink:853503,0.031,0.2866,0.0008,0.006
entrez gene/locuslink:854407,0.0619,0.3224,0.0018,0.0236
entrez gene/locuslink:851084,0.0088,0.2748,0.0,0.0042
entrez gene/locuslink:855407,0.0133,0.2954,0.0001,0.0049
entrez gene/locuslink:856382,0.2544,0.3463,0.0079,0.0602
entrez gene/locuslink:851680,0.0332,0.297,0.0006,0.007
entrez gene/locuslink:854192,0.0442,0.3105,0.0007,0.0076
entrez gene/locuslink:850633,0.0243,0.3016,0.0002,0.0051
entrez gene/locuslink:852440,0.0177,0.2589,0.0001,0.0006
entrez gene/locuslink:850419,0.0288,0.2999,0.0002,0.0074
entrez gene/locuslink:854465,0.0642,0.3094,0.0005,0.0242
entrez gene/locuslink:854875,0.0243,0.2798,0.0004,0.0042
entrez gene/locuslink:856186,0.0553,0.314,0.0005,0.0186
entrez gene/locuslink:852665,0.0929,0.3408,0.0034,0.0365
entrez gene/locuslink:852833,0.0376,0.3078,0.0003,0.0073
entrez gene/locuslink:856746,0.0332,0.3,0.0013,0.0058
entrez gene/locuslink:855838,0.0221,0.2911,0.0002,0.0047
entrez gene/locuslink:851591,0.0332,0.299,0.0004,0.0118
entrez gene/locuslink:854142,0.0332,0.303,0.0007,0.0065
entrez gene/locuslink:855243,0.031,0.2917,0.0008,0.005
entrez gene/locuslink:850935,0.0088,0.2653,0.0,0.0017
entrez gene/locuslink:855228,0.0553,0.3273,0.0022,0.0169
entrez gene/locuslink:853097,0.0088,0.2488,0.0,0.0004
entrez gene/locuslink:852018,0.0487,0.3181,0.0008,0.0114
entrez gene/locuslink:850620,0.2832,0.3492,0.0204,0.0356
entrez gene/locuslink:851431,0.0619,0.3133,0.0017,0.0081
entrez gene/locuslink:854242,0.0265,0.2813,0.0001,0.0046
entrez gene/locuslink:854243,0.0376,0.2775,0.0004,0.0016
entrez gene/locuslink:856476,0.0088,0.2513,0.0,0.0005
entrez gene/locuslink:852963,0.0066,0.2492,0.0,0.0004
entrez gene/locuslink:856763,0.0177,0.3009,0.0002,0.0046
entrez gene/locuslink:850840,0.0288,0.2662,0.0,0.0025
entrez gene/locuslink:851112,0.0442,0.2823,0.0002,0.0049
entrez gene/locuslink:851482,0.0597,0.2925,0.0003,0.0104
entrez gene/locuslink:850878,0.0288,0.2824,0.0001,0.0155
entrez gene/locuslink:851051,0.0398,0.3128,0.0004,0.0123
entrez gene/locuslink:854747,0.0088,0.2714,0.0,0.0017
entrez gene/locuslink:851975,0.0265,0.2957,0.0005,0.0062
entrez gene/locuslink:855005,0.073,0.3225,0.0017,0.032
entrez gene/locuslink:852110,0.0133,0.2742,0.0001,0.0014
entrez gene/locuslink:852881,0.0708,0.3164,0.0015,0.014
entrez gene/locuslink:852714,0.0111,0.2912,0.0001,0.0036
entrez gene/locuslink:852567,0.0199,0.2858,0.0,0.0037
entrez gene/locuslink:855412,0.0354,0.3243,0.0004,0.0182
entrez gene/locuslink:853884,0.0509,0.2851,0.0003,0.0041
entrez gene/locuslink:850966,0.0509,0.3087,0.0005,0.0091
entrez gene/locuslink:853082,0.0597,0.3015,0.0008,0.0084
entrez gene/locuslink:850873,0.0111,0.2617,0.0,0.0027
